                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.8399,                  1.548,                 1.0338,                0.67414,                0.68554,                0.67638,                0.31045,                   1.65,                 1.3185,                0.99703,              0.0087724,              0.0087724,              0.0087724
                     64,                 1.8325,                 1.5517,                  1.031,                0.67283,                0.68805,                0.67821,                0.31246,                 1.6429,                 1.3141,                0.99591,              0.0087526,              0.0087526,              0.0087526
                     65,                 1.8284,                  1.533,                 1.0348,                0.67874,                0.68897,                0.67895,                 0.3147,                 1.6259,                 1.3179,                0.99208,              0.0087328,              0.0087328,              0.0087328
                     66,                 1.8134,                 1.5244,                  1.032,                  0.677,                0.69411,                0.68051,                0.31602,                 1.6213,                 1.3102,                0.99219,               0.008713,               0.008713,               0.008713
                     67,                 1.8211,                 1.5316,                 1.0312,                0.68812,                0.68653,                0.68437,                0.31909,                 1.6196,                  1.294,                0.99267,              0.0086932,              0.0086932,              0.0086932
                     68,                  1.821,                 1.5232,                 1.0321,                0.67803,                0.69623,                0.68293,                0.31717,                 1.6199,                 1.3039,                0.99119,              0.0086734,              0.0086734,              0.0086734
                     69,                 1.8139,                 1.5173,                 1.0277,                0.67714,                0.70175,                0.68683,                0.31998,                 1.6189,                 1.2905,                0.98965,              0.0086536,              0.0086536,              0.0086536
                     70,                 1.8089,                 1.5262,                 1.0231,                0.67973,                0.70155,                0.68542,                0.32028,                 1.6133,                 1.3017,                0.98726,              0.0086338,              0.0086338,              0.0086338
                     71,                 1.8065,                 1.5274,                 1.0262,                0.68234,                0.69581,                0.68478,                0.32004,                 1.6107,                 1.3017,                0.98531,               0.008614,               0.008614,               0.008614
                     72,                 1.8022,                 1.5155,                 1.0274,                0.68203,                0.69344,                0.68435,                0.32052,                 1.6105,                 1.2958,                 0.9873,              0.0085942,              0.0085942,              0.0085942
                     73,                 1.8112,                 1.5277,                 1.0263,                0.68473,                0.70245,                0.68646,                0.32165,                 1.6115,                 1.2909,                0.98848,              0.0085744,              0.0085744,              0.0085744
                     74,                 1.7856,                 1.5053,                 1.0237,                0.69234,                0.69888,                0.68931,                 0.3252,                 1.5981,                 1.2857,                0.98525,              0.0085546,              0.0085546,              0.0085546
                     75,                 1.7959,                 1.4985,                 1.0276,                0.68592,                 0.7005,                0.68782,                0.32536,                 1.5965,                 1.2831,                0.98477,              0.0085348,              0.0085348,              0.0085348
                     76,                 1.7819,                 1.5069,                 1.0167,                0.69007,                0.70074,                0.69327,                0.32714,                 1.5999,                  1.284,                0.98606,               0.008515,               0.008515,               0.008515
                     77,                 1.7982,                 1.5084,                 1.0245,                0.68868,                0.70268,                0.69574,                0.32719,                 1.6014,                 1.2806,                0.98831,              0.0084952,              0.0084952,              0.0084952
                     78,                  1.792,                 1.5005,                 1.0248,                0.68987,                0.70074,                0.69545,                0.32834,                 1.5982,                 1.2763,                0.98839,              0.0084754,              0.0084754,              0.0084754
                     79,                  1.784,                 1.5085,                 1.0203,                0.68343,                 0.6975,                0.68869,                0.32561,                  1.597,                  1.283,                 0.9882,              0.0084556,              0.0084556,              0.0084556
                     80,                 1.7913,                 1.5119,                 1.0223,                0.68499,                0.69891,                0.69197,                 0.3268,                 1.5962,                 1.2822,                0.98776,              0.0084358,              0.0084358,              0.0084358
                     81,                  1.785,                 1.5213,                 1.0183,                0.68555,                0.70015,                0.69435,                0.32778,                 1.5989,                 1.2782,                0.98761,               0.008416,               0.008416,               0.008416
                     82,                 1.7814,                 1.4946,                 1.0186,                0.68928,                0.70303,                0.69673,                0.32897,                 1.5946,                 1.2759,                0.98671,              0.0083962,              0.0083962,              0.0083962
                     83,                 1.7794,                 1.5043,                 1.0216,                0.68945,                0.70837,                0.69807,                0.32854,                 1.5996,                 1.2752,                0.98904,              0.0083764,              0.0083764,              0.0083764
                     84,                 1.7852,                 1.5057,                 1.0185,                0.69009,                0.70474,                 0.6977,                 0.3288,                 1.5987,                 1.2763,                0.98714,              0.0083566,              0.0083566,              0.0083566
                     85,                 1.7757,                 1.4894,                 1.0135,                0.69034,                0.70676,                 0.6988,                0.32945,                 1.5965,                 1.2719,                0.98626,              0.0083368,              0.0083368,              0.0083368
                     86,                 1.7672,                 1.4786,                 1.0178,                  0.693,                0.70353,                0.69915,                0.33053,                 1.5968,                 1.2697,                0.98736,               0.008317,               0.008317,               0.008317
                     87,                 1.7679,                 1.4866,                 1.0142,                0.69186,                0.70614,                0.69957,                0.33091,                 1.5936,                 1.2704,                 0.9869,              0.0082972,              0.0082972,              0.0082972
                     88,                 1.7679,                 1.4809,                 1.0166,                0.69009,                0.70765,                0.70001,                 0.3325,                 1.5937,                 1.2669,                0.98748,              0.0082774,              0.0082774,              0.0082774
                     89,                 1.7604,                 1.5084,                  1.014,                0.69348,                0.70804,                0.69881,                  0.332,                 1.5925,                 1.2661,                0.98715,              0.0082576,              0.0082576,              0.0082576
                     90,                 1.7558,                 1.4647,                 1.0159,                0.69633,                0.70532,                0.69992,                0.33217,                  1.592,                 1.2644,                0.98726,              0.0082378,              0.0082378,              0.0082378
                     91,                 1.7596,                 1.4839,                 1.0095,                0.69695,                0.70809,                0.70217,                0.33324,                 1.5881,                 1.2638,                0.98586,               0.008218,               0.008218,               0.008218
                     92,                 1.7494,                 1.4703,                 1.0159,                0.69767,                0.70899,                0.70297,                0.33406,                 1.5903,                 1.2613,                 0.9864,              0.0081982,              0.0081982,              0.0081982
                     93,                 1.7615,                 1.4847,                 1.0144,                0.69608,                 0.7083,                 0.7014,                0.33395,                 1.5921,                 1.2595,                0.98725,              0.0081784,              0.0081784,              0.0081784
                     94,                 1.7415,                 1.4607,                 1.0083,                0.69584,                0.70974,                0.70153,                0.33393,                  1.587,                 1.2577,                0.98553,              0.0081586,              0.0081586,              0.0081586
                     95,                 1.7612,                 1.4825,                 1.0159,                0.69597,                0.70941,                0.70154,                0.33448,                 1.5866,                 1.2591,                0.98546,              0.0081388,              0.0081388,              0.0081388
                     96,                 1.7502,                 1.4813,                 1.0108,                0.69577,                0.70934,                 0.7009,                0.33486,                  1.584,                 1.2595,                0.98505,               0.008119,               0.008119,               0.008119
                     97,                 1.7439,                 1.4671,                  1.014,                0.69318,                0.71003,                0.70001,                0.33394,                 1.5873,                 1.2566,                0.98646,              0.0080992,              0.0080992,              0.0080992
                     98,                 1.7473,                 1.4787,                 1.0116,                0.69241,                0.71327,                0.70106,                0.33468,                 1.5861,                  1.255,                0.98585,              0.0080794,              0.0080794,              0.0080794
                     99,                 1.7456,                  1.474,                 1.0114,                0.69346,                0.71455,                0.70152,                0.33566,                 1.5833,                  1.256,                0.98451,              0.0080596,              0.0080596,              0.0080596
                    100,                 1.7396,                 1.4728,                 1.0114,                0.69231,                0.71531,                0.70258,                0.33553,                 1.5847,                 1.2537,                0.98496,              0.0080398,              0.0080398,              0.0080398
                    101,                 1.7398,                 1.4579,                 1.0096,                0.69165,                0.71695,                0.70176,                0.33592,                 1.5839,                 1.2528,                0.98486,                0.00802,                0.00802,                0.00802
                    102,                 1.7388,                 1.4733,                   1.01,                  0.692,                0.71707,                 0.7023,                0.33553,                 1.5835,                 1.2532,                0.98454,              0.0080002,              0.0080002,              0.0080002
                    103,                 1.7348,                 1.4605,                  1.008,                0.69415,                0.71732,                0.70295,                0.33619,                 1.5818,                 1.2525,                0.98399,              0.0079804,              0.0079804,              0.0079804
                    104,                   1.73,                 1.4573,                 1.0046,                 0.6955,                0.71636,                0.70431,                0.33684,                 1.5848,                 1.2492,                0.98494,              0.0079606,              0.0079606,              0.0079606
                    105,                 1.7419,                 1.4637,                 1.0108,                0.69276,                0.71828,                0.70377,                0.33688,                 1.5885,                 1.2477,                0.98614,              0.0079408,              0.0079408,              0.0079408
                    106,                 1.7156,                 1.4626,                 1.0041,                0.69295,                0.71922,                0.70473,                0.33731,                 1.5896,                 1.2458,                0.98636,               0.007921,               0.007921,               0.007921
                    107,                  1.725,                 1.4608,                 1.0091,                0.69468,                0.71784,                0.70619,                0.33677,                 1.5936,                 1.2446,                0.98782,              0.0079012,              0.0079012,              0.0079012
                    108,                 1.7201,                 1.4693,                 1.0072,                0.69516,                 0.7172,                  0.707,                0.33752,                 1.5922,                 1.2436,                0.98789,              0.0078814,              0.0078814,              0.0078814
                    109,                 1.7189,                 1.4536,                 1.0033,                0.69489,                0.71918,                  0.708,                0.33786,                 1.5903,                 1.2434,                0.98759,              0.0078616,              0.0078616,              0.0078616
                    110,                 1.7237,                 1.4698,                 1.0068,                0.69435,                0.71881,                0.70808,                 0.3379,                 1.5921,                 1.2424,                0.98821,              0.0078418,              0.0078418,              0.0078418
                    111,                 1.7206,                 1.4538,                 1.0065,                0.69529,                0.71891,                0.70773,                0.33813,                 1.5899,                 1.2427,                0.98764,               0.007822,               0.007822,               0.007822
                    112,                 1.7271,                 1.4606,                 1.0039,                0.69584,                 0.7178,                0.70777,                 0.3382,                 1.5887,                 1.2433,                0.98715,              0.0078022,              0.0078022,              0.0078022
                    113,                 1.7228,                 1.4511,                 1.0058,                0.69641,                0.71953,                0.70883,                0.33876,                 1.5899,                 1.2415,                0.98762,              0.0077824,              0.0077824,              0.0077824
                    114,                 1.7175,                 1.4488,                 1.0055,                0.69421,                0.72187,                0.70897,                0.33913,                 1.5918,                  1.241,                0.98825,              0.0077626,              0.0077626,              0.0077626
                    115,                 1.7275,                 1.4472,                 1.0066,                0.69419,                 0.7233,                  0.709,                0.33875,                 1.5933,                 1.2398,                0.98883,              0.0077428,              0.0077428,              0.0077428
                    116,                 1.7228,                 1.4568,                 1.0051,                0.69731,                0.72136,                0.70916,                0.33859,                 1.5942,                 1.2388,                0.98943,               0.007723,               0.007723,               0.007723
                    117,                 1.7127,                 1.4378,                 1.0037,                0.69781,                0.72152,                0.70927,                0.33868,                 1.5937,                 1.2374,                0.98912,              0.0077032,              0.0077032,              0.0077032
                    118,                  1.708,                 1.4555,                 1.0016,                0.69992,                0.72144,                0.70941,                0.33867,                 1.5943,                 1.2371,                0.98924,              0.0076834,              0.0076834,              0.0076834
                    119,                 1.7163,                 1.4501,                 1.0067,                0.69764,                0.72176,                0.70944,                0.33872,                 1.5929,                  1.237,                 0.9888,              0.0076636,              0.0076636,              0.0076636
                    120,                 1.7085,                 1.4387,                0.99851,                0.69773,                0.72406,                0.70993,                 0.3391,                 1.5915,                 1.2368,                0.98836,              0.0076438,              0.0076438,              0.0076438
                    121,                 1.7264,                 1.4407,                 1.0043,                  0.699,                0.72457,                 0.7099,                0.33905,                 1.5898,                 1.2361,                0.98773,               0.007624,               0.007624,               0.007624
                    122,                 1.7097,                 1.4551,                  1.008,                0.69764,                0.72388,                0.70941,                 0.3392,                 1.5873,                 1.2366,                0.98698,              0.0076042,              0.0076042,              0.0076042
                    123,                 1.7118,                 1.4516,                 1.0013,                0.69876,                0.72336,                0.71015,                0.33921,                 1.5879,                 1.2365,                  0.987,              0.0075844,              0.0075844,              0.0075844
                    124,                 1.7052,                 1.4374,                  1.004,                0.69839,                0.72407,                0.70992,                0.33979,                 1.5867,                 1.2364,                0.98648,              0.0075646,              0.0075646,              0.0075646
                    125,                 1.7108,                 1.4447,                 1.0007,                0.69743,                0.72423,                0.70984,                0.33953,                 1.5863,                 1.2358,                0.98631,              0.0075448,              0.0075448,              0.0075448
                    126,                 1.7133,                 1.4347,                  1.002,                0.69841,                0.72506,                0.71008,                0.33978,                 1.5864,                  1.235,                0.98638,               0.007525,               0.007525,               0.007525
                    127,                 1.7147,                 1.4307,                 1.0033,                0.69845,                0.72496,                0.70999,                0.34001,                 1.5858,                 1.2344,                0.98622,              0.0075052,              0.0075052,              0.0075052
                    128,                 1.7049,                 1.4388,                 1.0035,                0.70003,                0.72604,                0.71026,                0.34003,                 1.5849,                 1.2342,                0.98592,              0.0074854,              0.0074854,              0.0074854
                    129,                 1.7031,                  1.428,                  1.002,                0.70037,                0.72625,                0.70995,                0.34019,                 1.5848,                  1.234,                 0.9859,              0.0074656,              0.0074656,              0.0074656
                    130,                 1.6953,                 1.4336,                0.99823,                0.70028,                0.72656,                0.71019,                0.34027,                 1.5836,                  1.234,                0.98568,              0.0074458,              0.0074458,              0.0074458
                    131,                 1.6994,                 1.4144,                0.99895,                0.70024,                0.72573,                0.71021,                0.34042,                 1.5832,                 1.2338,                0.98555,               0.007426,               0.007426,               0.007426
                    132,                 1.7161,                 1.4558,                0.99985,                0.70052,                0.72587,                0.71071,                0.34068,                 1.5829,                 1.2338,                0.98553,              0.0074062,              0.0074062,              0.0074062
                    133,                  1.712,                 1.4319,                 1.0047,                0.69974,                0.72574,                0.71043,                0.34077,                 1.5843,                 1.2335,                0.98597,              0.0073864,              0.0073864,              0.0073864
